,ICs,Importance
0,IC19,0.13458201987359542
1,IC8,0.11106404314456274
2,IC16,0.05283598456135285
3,IC7,0.050755930177607676
4,IC14,0.04759425831782457
5,IC1,0.0442677253223368
6,IC5,0.04266875036219218
7,IC10,0.04250121084053324
8,IC2,0.04244190056346882
9,IC3,0.0404079135914191
10,IC17,0.04039029963562688
11,IC12,0.040049894943327766
12,IC20,0.03955737055539206
13,IC6,0.0392881903480972
14,IC15,0.03903504746650935
15,IC13,0.03895031143917529
16,IC18,0.038542736228431906
17,IC11,0.03852212229254088
18,IC4,0.038475176885587895
19,IC9,0.03806911345041735
